title,text,label
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 187.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 102.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 202.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 69.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 208.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 14.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 100.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 136.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 15.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 167.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 48.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 104.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 221.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 58.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 53.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 125.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 84.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 90.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 151.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 105.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 137.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 56.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 64.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 182.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 183.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 231.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 27.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 235.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 88.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 248.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 27.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 89.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 82.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 213.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 20.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 226.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 35.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 179.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 164.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 196.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 238.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 154.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 44.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 152.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 120.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 157.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 169.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 143.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 137.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 192.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 249.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 113.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 33.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 187.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 162.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 240.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 158.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 122.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 94.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 199.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 218.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 79.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 165.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 160.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 84.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 239.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 119.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 65.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 117.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 133.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 40.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 116.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 117.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 174.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 236.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 82.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 198.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 121.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 229.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 193.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 167.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 131.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 126.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 132.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 23.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 195.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 202.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 191.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 46.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 186.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 237.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 163.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 110.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 236.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 24.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 79.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 25.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 128.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 63.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 143.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 171.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 115.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 113.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 68.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 56.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 147.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 65.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 99.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 34.,1
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 235.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 102.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 146.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 189.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 172.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 54.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 205.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 76.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 200.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 197.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 147.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 180.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 67.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 28.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 32.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 101.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 177.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 168.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 72.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 188.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 170.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 55.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 186.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 5.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 141.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 78.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 250.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 60.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 49.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 215.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 59.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 52.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 166.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 38.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 241.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 98.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 107.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 144.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 104.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 4.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 34.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 1.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 179.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 224.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 114.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 19.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 163.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 114.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 17.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 51.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 156.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 11.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 154.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 75.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 240.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 155.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 47.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 63.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 26.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 208.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 50.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 53.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 86.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 138.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 118.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 54.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 81.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 57.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 140.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 24.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 90.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 29.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 195.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 80.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 97.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 171.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 142.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 145.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 52.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 57.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 100.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 33.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 116.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 118.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 21.,0
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 219.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 173.,1
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 19.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 71.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 45.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 112.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 176.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 244.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 200.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 125.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 138.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 217.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 249.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 36.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 206.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 165.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 98.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 51.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 211.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 234.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 230.,1
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 153.,0
Cats start paying taxes,A fabricated article claimed cats were added to the national tax system. No reliable evidence supports the claim. Sample 242.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 93.,0
Scientists develop efficient solar panel,Researchers published findings showing improved solar panel efficiency. Verified by multiple official reports. Sample 5.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 43.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 46.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 136.,0
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 14.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 66.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 30.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 130.,1
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 20.,0
Local hospital opens new emergency wing,The new facility aims to improve patient care and emergency response. Verified by multiple official reports. Sample 150.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 225.,0
Moon made of chocolate confirmed,An online rumor falsely claimed the moon is made of chocolate. No reliable evidence supports the claim. Sample 173.,0
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 234.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 39.,1
Aliens elected as world leaders,A viral post claimed aliens secretly won a global election without evidence. No reliable evidence supports the claim. Sample 6.,0
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 181.,1
Government approves new education policy,The government announced a new education policy after consultations with experts and officials. Verified by multiple official reports. Sample 244.,1
City launches tree plantation drive,Thousands of saplings were planted across the city. Verified by multiple official reports. Sample 22.,1
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 87.,1
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 212.,0
Invisible water discovered,A misleading post claimed ordinary water makes people invisible. No reliable evidence supports the claim. Sample 222.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 93.,1
Time traveler predicts yesterday,An unbelievable story spread without any credible sources. No reliable evidence supports the claim. Sample 207.,0
University awards research grants,The grants will support innovation and academic research. Verified by multiple official reports. Sample 30.,1
